code,title,title_ja,session_type,session_tracks,session_tracks_ja,date,time_from,time_to,hour_from,description,description_ja,session_id,url
CO212,Accelerate Data Clean Room Deployments with GitHub and Snowflake,GitHubとSnowflakeでデータクリーンルームのデプロイを加速する,Breakout-Session,Collaboration,コラボレーション,,,,,"Snowflake Data Clean Room (DCR) APIs enable application development using secure analytics. Discover how integrating GitHub directly with Snowflake can optimize DCR deployment workflows between engineering and data science teams. This session will highlight the benefits of this integration including increased efficiency, reduced errors, seamless collaboration, and improved customer satisfaction. ",Snowflake Data Clean Room (DCR) API は、セキュアな分析を使用したアプリケーション開発を可能にします。GitHubとSnowflakeを直接統合することで、エンジニアリングチームとデータサイエンスチーム間のDCRデプロイメントワークフローを最適化する方法をご覧ください。このセッションでは、効率性の向上、エラーの削減、シームレスなコラボレーション、顧客満足度の向上など、この統合のメリットを紹介します。,1738341428797001rQhg,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738341428797001rQhg
DO104,Accelerate Data Engineering: Terminal to Production-Ready Snowflake Pipelines,データエンジニアリングを加速する本番環境に対応したSnowflakeパイプラインへのターミナル,Breakout-Session,Others,その他,,,,,"Data-driven success needs fast analytics, but manual pipeline deployments slow things down. See how organizations transform data operations using software practices in Snowflake engineering. Using terminal-first methods, version-controlled SQL and automated checks, teams cut deployment time while keeping reliability. Learn to implement Git-based changes, data-aware CI/CD, and infrastructure-as-code to speed up insights.
","データ主導の成功には迅速なアナリティクスが必要ですが、手作業によるパイプラインのデプロイでは遅くなってしまいます。Snowflakeエンジニアリングのソフトウェアプラクティスを使用して、組織がどのようにデータオペレーションを変革しているかをご覧ください。ターミナルファーストの手法、バージョン管理された SQL、自動化されたチェックを使用して、チームは信頼性を維持しながらデプロイ時間を短縮します。Git ベースの変更、データを考慮した CI/CD、Infrastructure-as-Code を実装して洞察をスピードアップする方法を学んでください。
",1733409527855001W9t9,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1733409527855001W9t9
MA217,Accelerating Martech Innovation: AT&T's Seamless Data Migration to Snowflake,マーテク・イノベーションの加速：AT&TのSnowflakeへのシームレスなデータ移行,Theater-Session,Marketing & Customer 360,マーケティング,,,,,"The AT&T Martech team drives key data and analytic initiatives for mass market consumers. Adopting Snowflake, team addressed challenges such as legacy system limitations, multiple data platforms, data silos, and high time to market. By integrating data sources, the team unified online and offline data, reduced costs, accelerated time to market, enhanced self-service, and improved user experience. This session highlights their journey in building a composable CDP and achieving a Customer 360 view with Snowflake, streamlining marketing efforts from a single source of truth",AT&T Martechチームは、マスマーケット消費者向けの主要なデータおよび分析イニシアチブを推進しています。チームはSnowflakeを採用することで、レガシーシステムの制限、複数のデータプラットフォーム、データのサイロ化、市場投入までの時間の長さといった課題に対処しました。データソースを統合することで、チームはオンラインとオフラインのデータを統合し、コストを削減し、市場投入までの時間を短縮し、セルフサービスを強化し、ユーザーエクスペリエンスを向上させました。このセッションでは、コンポーザブルCDPを構築し、Snowflakeで顧客360ビューを実現し、単一の真実のソースからマーケティング活動を合理化するまでの道のりを紹介します。,1738765676197001j2eQ,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738765676197001j2eQ
BA213,Achieving Data Excellence: How Honeywell Built a Gold-Standard Data Strategy,データエクセレンスの達成：ハネウェルはいかにしてゴールドスタンダードのデータ戦略を構築したか,Breakout-Session,Others,その他,,,,,"Honeywell leverages Snowflake as a mission-critical data warehouse, unifying data from ERP, sales, finance and supply chain across four business groups. This single source of truth powers gold-standard BI reporting, enabling executives to confidently evaluate performance and drive strategy. Discover how Honeywell’s data-driven approach streamlines financial closes, enhances operational efficiency, and delivers trusted insights at scale.
","ハネウェルはSnowflakeをミッションクリティカルなデータウェアハウスとして活用し、4つのビジネスグループにわたるERP、販売、財務、サプライチェーンからのデータを統合しています。この単一の真実の情報源は、最高水準のBIレポートを作成し、経営幹部が自信を持って業績を評価し、戦略を推進できるようにします。ハネウェルのデータ駆動型アプローチが財務閉鎖を合理化し、業務効率を高め、信頼できる洞察を大規模に提供する方法をご覧ください。
",1738174924844001Cgxd,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738174924844001Cgxd
AI242,Actionable Insights from Incident Postmortems Using Snowflake Cortex AI,Snowflake Cortex AIを使用したインシデント事後分析からの実用的な洞察,Theater-Session,AI & ML,AI&機械学習,,,,,"Cisco-Meraki conducts detailed postmortems of severity-1 incidents to identify key problem areas such as bad code and testing gaps. This process has significantly improved product quality, deployment reliability and minimized customer impact. Recently, we began using Snowflake Cortex AI to analyze incident reports more effectively, uncovering key factors such as root causes, impact areas, team response and underlying trends. We developed a Streamlit-based application that allows senior leadership to interact with our incident reports using natural language queries. Cortex AI has become our preferred POC tool for both internal process improvements and customer-facing innovations.
","Cisco-Merakiは重大度1のインシデントの詳細な事後調査を行い、不良コードやテストギャップなどの主要な問題点を特定しています。このプロセスにより、製品の品質、デプロイの信頼性が大幅に向上し、顧客への影響を最小限に抑えることができました。最近では、Snowflake Cortex AIを使用してインシデントレポートをより効果的に分析し、根本原因、影響範囲、チームの対応、根本的な傾向などの重要な要因を明らかにするようになりました。私たちはStreamlitベースのアプリケーションを開発し、上級管理職が自然言語クエリを使用してインシデント・レポートと対話できるようにしました。Cortex AIは、社内のプロセス改善と顧客向けのイノベーションの両方に適したPOCツールとなりました。
",1738702729503001o5Uw,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738702729503001o5Uw
AI304,"AI and Unified Data at JPMorgan: Transforming Controls, Compliance and Risk",JPMorganにおけるAIと統合データ：コントロール、コンプライアンス、リスクの変革,Breakout-Session,AI & ML,AI&機械学習,,,,,"Join the JPMorgan Chase Wealth Management RegTech team as they showcase their innovative use of Snowflake to integrate data, analytics and AI into a unified platform for all lines of defense, including controls, risk and compliance. Discover their plans to leverage LLM capabilities through Cortex AI to deliver cutting-edge risk and regulatory insights.
Learn best practices that enhance efficiency by 50%, strengthen compliance, mitigate risks and achieve substantial cost savings. Gain valuable insights into proactive risk management and staying ahead of industry trends and challenges. Don't miss this opportunity to explore the future of data-driven compliance and control.
","JPモルガン・チェース・ウェルス・マネジメントのRegTechチームが、データ、アナリティクス、AIを統合し、コントロール、リスク、コンプライアンスを含むすべての防衛ラインのための統一プラットフォームとするSnowflakeの革新的な活用を紹介します。Cortex AIを通じてLLMの機能を活用し、最先端のリスクと規制に関する洞察を提供する計画をご覧ください。
効率を50％向上させ、コンプライアンスを強化し、リスクを軽減し、大幅なコスト削減を実現するベストプラクティスを学ぶ。先を見越したリスク管理、業界のトレンドと課題の先取りに関する貴重な洞察を得ることができます。データ主導のコンプライアンスと管理の未来を探るこの機会をお見逃しなく。
",1738701579978001hNIg,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738701579978001hNIg
AI236,AI Chatbots: Scaling from Prototype to Products with Snowflake Cortex LLMs,AIチャットボット：Snowflake Cortex LLMによるプロトタイプから製品へのスケーリング,Breakout-Session,AI & ML,AI&機械学習,,,,,"Embark on a journey through the development of AI chatbots, from initial prototype to robust, scalable and secured products deployed across multiple factories in different countries. This session highlights the integration of Cortex LLMs and Cortex Search, leveraging multilingual capabilities and integration to other systems to create seamless user experiences for a global user base. Discover how an idea born in business has scaled within the organization through a citizen developer approach.
","初期のプロトタイプから、堅牢でスケーラブルかつセキュアな製品に至るまで、さまざまな国の複数の工場で展開されているAIチャットボット開発の旅に出かけましょう。このセッションでは、Cortex LLMとCortex Searchの統合に焦点を当て、多言語機能と他のシステムとの統合を活用して、グローバルなユーザーベースのためのシームレスなユーザー体験を作り出します。ビジネスで生まれたアイデアが、シチズン・デベロッパーのアプローチによって組織内でどのようにスケールしたかをご覧ください。
",1738593754905001AXK6,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738593754905001AXK6
AI237,AI Compliance Copilot: Automating Regulatory Search with Snowflake Cortex AI,AIコンプライアンス・コパイロット：Snowflake Cortex AIによる法規制検索の自動化,Breakout-Session,AI & ML,AI&機械学習,,,,,"Navigating compliance regulations is complex, but with Snowflake’s Cortex Search, we’ve built a compliance chatbot that acts as a personal legal assistant. Using retrieval-augmented generation (RAG), it integrates Confluence and PDF data, transforming them into structured, searchable insights. Built with Streamlit, the intuitive UI empowers compliance teams to retrieve regulatory information instantly, ensuring quick adaptation to evolving requirements and mitigating compliance risks.
","コンプライアンス規制をナビゲートするのは複雑ですが、Snowflake の Cortex Search を使用して、個人的なリーガルアシスタントとして機能するコンプライアンスチャットボットを構築しました。RAG (retrieval-augmented generation) を使用して、Confluence と PDF データを統合し、構造化された検索可能なインサイトに変換します。Streamlit で構築された直感的な UI は、コンプライアンスチームが規制情報を即座に検索できるようにし、進化する要件への迅速な対応とコンプライアンスリスクの軽減を実現します。
",1738595021052001jTZ6,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738595021052001jTZ6
AI238,AI-Driven Processing of Manufacturing Documents and Data with Document AI,ドキュメントAIによる製造ドキュメントとデータのAI駆動処理,Breakout-Session,AI & ML,AI&機械学習,,,,,"Leverage Document AI and Snowflake Cortex AI to transform unstructured data into actionable insights. Our solution automates vital information extraction from diverse PDF formats, reducing manual effort. Custom-trained models ensure efficient data extraction, while robust pre-processing validates documents. Enhanced metadata management tracks configurations and accuracy. A Streamlit interface enables real-time monitoring and exception handling, optimizing data ingestion workflows for manufacturing.
","Document AIとSnowflake Cortex AIを活用して、非構造化データを実用的な洞察に変換します。当社のソリューションは、多様なPDFフォーマットからの重要な情報抽出を自動化し、手作業を削減します。カスタムトレーニングされたモデルが効率的なデータ抽出を保証し、堅牢な前処理がドキュメントを検証します。強化されたメタデータ管理は、設定と精度を追跡します。Streamlit インターフェースは、リアルタイムのモニタリングと例外処理を可能にし、製造業のデータ取り込みワークフローを最適化します。
",1738682386944001Bfzy,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738682386944001Bfzy
BA236,AI for BI: Empowering Users with AI-Driven Insights,BIのためのAI：AI主導のインサイトでユーザーに力を与える,Theater-Session,Others,その他,,,,,"Stuck on a treadmill of endless data requests? Omni and Snowflake Cortex let your users answer their own questions with a little help from AI. No magic, no miracles — just smart tooling that gets the semantics right to deliver clear, actionable insights. This talk will provide a blueprint for keeping pace with AI while freeing up your team to focus on what really matters.
","終わりのないデータ要求のルームランナーから抜け出せない？OmniとSnowflake Cortexは、AIからの少しの助けを借りて、ユーザーが自分の質問に答えることができるようにします。魔法でも奇跡でもなく、明確で実用的な洞察を提供するためにセマンティクスを正しく理解するスマートなツールです。この講演では、AIと歩調を合わせながら、チームが本当に重要なことに集中できるようにするための青写真を提供します。
",1741985318537001YvfX,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1741985318537001YvfX
