code,title,title_ja,session_type,session_tracks,session_tracks_ja,date,time_from,time_to,hour_from,description,description_ja,session_id,url
ACT101,Hackathon: Dignity from Data — Using Snowflake to Solve the United States' Homelessness Crisis,ハッカソンデータからの尊厳 - スノーフレークを使って米国のホームレス危機を解決する,Activity-01,Activity,アクティビティ,2024-06-03,2024-06-03 09:00:00,2024-06-03 17:00:00,9,"The homelessness crisis in the U.S. is a pressing issue, as the nation grapples with a significant population of unhoused individuals. This problem disproportionately affects women and children, exacerbating mental health challenges stemming from trauma such as gender-based violence and family separation. Despite some progress, homelessness persists as a complex societal challenge, prompting the need for innovative approaches. Efforts are now being directed toward addressing homelessness on a national scale. This hackathon is dedicated to harnessing the power of data and the Snowflake Data Cloud to confront homelessness effectively. Throughout the event, participants will utilize tools such as Snowpark, Streamlit, geospatial analytics and the Snowflake Marketplace, alongside a range of partner solutions. They will employ Streamlit to build data visualization applications, geospatial analytics for precise location insights, Snowflake Cortex for machine learning, and Snowflake Marketplace for a vast array of supplementary data sets, apps and solutions.

","米国におけるホームレスの危機は喫緊の課題であり、国は住居を持たない人々の増加に取り組んでいる。この問題は女性と子どもに不釣り合いな影響を及ぼし、ジェンダーに基づく暴力や一家離散などのトラウマに起因する精神衛生上の問題を悪化させている。いくつかの進展にもかかわらず、ホームレス問題は複雑な社会的課題として残っており、革新的なアプローチの必要性を促している。現在、全国規模でホームレス問題への取り組みが進められている。このハッカソンは、データとスノーフレーク・データ・クラウドの力を活用し、ホームレス問題に効果的に立ち向かうことを目的としています。イベントを通じて、参加者はSnowpark、Streamlit、地理空間分析、Snowflake Marketplaceなどのツールを、さまざまなパートナーソリューションとともに活用する。参加者は、データ可視化アプリケーションを構築するためにStreamlitを、正確な位置情報を把握するために地理空間分析を、機械学習を行うためにSnowflake Cortexを、膨大な数の補足データセット、アプリ、ソリューションを提供するためにSnowflake Marketplaceを使用します。

",1710875911333001BsCF,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1710875911333001BsCF
ACT103,AI for Good: Transforming Industries,AI for Good：産業を変革する,Activity-01,Activity,アクティビティ,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Discover the power of AI for good in our session exploring its impact across industries. Our panelists, experts in their fields, will discuss how AI is revolutionizing healthcare, telecommunications, sustainability and the public sector. From improving patient outcomes to optimizing networks and addressing environmental challenges, AI is making a difference. Join to learn how — and to engage in a lively panel discussion and Q&A to delve into the opportunities and challenges ahead.",業界を超えたAIのインパクトを探るセッションで、AIの力を発見してください。各分野の専門家であるパネリストが、AIが医療、通信、持続可能性、公共部門にどのような革命をもたらしているかについて議論します。患者の予後改善からネットワークの最適化、環境問題への取り組みまで、AIは変化をもたらしています。パネルディスカッションや質疑応答を通じて、AIがどのように変革していくのか、また、今後どのようなチャンスや課題があるのか、ぜひご参加ください。,1715217222169001JKeq,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1715217222169001JKeq
AI241,AI Research Visionaries Part 1: Drs. Douwe Kiela and Bryan Catanzaro,AI研究の先見者たち Part 1：ドウエ・キエラ博士とブライアン・カタンザロ博士,Breakout-Session,AI & ML,AI&機械学習,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Amidst the torrential rate of AI announcements, it’s hard to focus on the bigger picture. Are open source models the solution to AI centralization of power, or a dangerous precursor to rogue use of AI? Can we imprint ethics into machine superintelligence? What areas of AI research are most promising or concerning for the future? Snowflake proudly presents a panel with three of the world’s most prominent AI researchers and founders: Drs. Douwe Kiela (Contextual AI) and Bryan Catanzaro (Nvidia). The moderator, Dr. Adrien Treuille — former professor at Carnegie Mellon, former CEO of Streamlit, and now Director of AI Product at Snowflake — will guide our exploration into these profoundly important questions, drawing on the vast experiences and insights of our distinguished guests.",AIの発表が相次ぐ中、大局的な視点に立つことは難しい。オープンソースモデルはAIの中央集権化の解決策なのか、それともAIの不正利用の危険な前兆なのか？機械の超知能に倫理を刷り込むことはできるのか？AI研究のどの分野が将来にとって最も有望なのか、あるいは懸念されるのか？スノーフレークでは、世界で最も著名なAI研究者・創設者3名によるパネルディスカッションを開催します：Douwe Kiela博士（Contextual AI）とBryan Catanzaro博士（Nvidia）です。モデレーターのAdrien Treuille博士（元カーネギーメロン大学教授、元Streamlit社CEO、現Snowflake社AI製品担当ディレクター）は、著名なゲストの豊富な経験と見識に基づき、これらの深く重要な問題への探求を指導します。,1710895286410001nnxG,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1710895286410001nnxG
ACT601,Canada Connect ( ) Meetup,カナダ・コネクト（ ）ミートアップ,Activity-01,Activity,アクティビティ,2024-06-03,2024-06-03 13:00:00,2024-06-03 14:00:00,13,"Join your peers at the Canada connect() meetup, where attendees from across Canada congregate to build new connections. Stop in to meet local community leaders, exchange ideas and expand your professional network!",カナダ全土から参加者が集まるCanada connect()ミートアップで、新しいつながりを築きましょう。地元のコミュニティ・リーダーと出会い、アイデアを交換し、プロフェッショナルなネットワークを広げましょう！,1715967146086001aZF0,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1715967146086001aZF0
CO108,Collaboration: A Business Necessity to Accelerate Digital Transformation,コラボレーションデジタルトランスフォーメーションを加速させるビジネスの必要性,Breakout-Session,Collaboration,コラボレーション,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Businesses need a reliable way to share data and apps securely across clouds and regions to accelerate digital transformation across product inventory, quantitative research, consumer and market data, ESG, asset and networking data, monitoring of IoT devices, and more. Today, FTP is no longer fit for purpose. In this session, you'll learn how organizations across industries use Snowflake Marketplace, the Snowflake Native App Framework and Snowpark Container Services to share data and apps with their customers and partners. The session will cover how to discover, evaluate and purchase, as well as list and monetize, data and apps - and how to deploy your app in a container in Snowflake.",製品在庫、定量調査、消費者・市場データ、ESG、資産・ネットワークデータ、IoTデバイスのモニタリングなど、デジタルトランスフォーメーションを加速するために、企業はクラウドや地域を超えてデータやアプリを安全に共有する信頼性の高い方法を必要としています。今日、FTPはもはや目的に合っていません。このセッションでは、さまざまな業種の組織がSnowflake Marketplace、Snowflake Native App Framework、Snowpark Container Servicesを使用して、顧客やパートナーとデータやアプリを共有する方法を学びます。このセッションでは、データとアプリの発見、評価、購入、リスト化、収益化の方法と、Snowflakeのコンテナにアプリをデプロイする方法について説明します。,1708733245174001yiHn,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1708733245174001yiHn
MD207,Data Mesh and Data Vault on Snowflake with Xero Effort,Xeroの努力でSnowflake上のデータメッシュとデータ保管庫,Breakout-Session,Modern Data Architectures,データアーキテクチャ,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"Xero has an advanced Data Vault/Data Mesh implementation on Snowflake. Join this session with Xero and Patrick Cuba, one of Snowflake’s experts on Data Vault, to learn how Xero used the context of domain-driven design (DDD) thinking with Data Vault design thinking to map the business architecture to the information domain through agility, automation and auditability.",XeroはSnowflakeに高度なData Vault/Data Meshを実装しています。XeroとData Vaultに関するSnowflakeのエキスパートの一人であるPatrick Cuba氏によるこのセッションに参加し、XeroがData Vaultの設計思考にドメイン駆動設計（DDD）思考のコンテキストを使用して、俊敏性、自動化、監査可能性を通じてビジネスアーキテクチャを情報ドメインにマッピングした方法を学びましょう。,1708733424502001ytDn,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1708733424502001ytDn
MD240,Delivering Trusted Data in This Era of AI,AIの時代に信頼できるデータを提供する,Theater-Session,Modern Data Architectures,データアーキテクチャ,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:20:00,13,"We're living in an AI era where data trust is paramount. This session reveals the hidden intricacies behind data mistrust, spotlighting common yet elusive problems that ripple through to impact Snowflake. Discover strategies for proactive detection, notification and pre-emptive resolution to transform days of frustrating investigation into moments of clarity. Join this session to learn how to leverage data observability and an AI co-pilot for precise error identification, ensuring technical and business teams operate in harmony — and to learn how to achieve this synergy cost-effectively to mark a pivotal shift in delivering trusted data. Please note: Theaters are first come, first seated.",私たちは、データの信頼が最も重要なAIの時代を生きています。このセッションでは、データ不信の背後にある隠された複雑な問題を明らかにし、Snowflakeに波及する一般的でありながらとらえどころのない問題にスポットを当てます。プロアクティブな検出、通知、先手を打った解決策を発見し、イライラする調査の日々を明瞭な瞬間に変えましょう。このセッションに参加し、データの可観測性とAIの副操縦士を活用して正確なエラーを特定し、技術チームとビジネスチームが調和して動作するようにする方法を学びましょう。注意：劇場は先着順です。,1709860975689001SZ62,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709860975689001SZ62
AI303,Develop a Predictive Model Using Snowflake and Sigma,SnowflakeとSigmaを使用した予測モデルの開発,Hands-on-Lab,AI & ML,AI&機械学習,2024-06-03,2024-06-03 13:00:00,2024-06-03 14:30:00,13,"Developing a predictive model strategy is critical in today's analytics landscape. See how Snowflake and Sigma can help you easily create predictive models tailored to your business needs, forecast future trends, optimize operations and make data-driven decisions. Learn how to explore data, identify key columns, and uncover insights without performing extensive coding; reduce complexity for a unified programming environment; develop and execute data pipelines, use feature engineering, and access your machine learning models in a single place; and eliminate the need for your end users to possess in-depth data science expertise, making the process more accessible and efficient.",予測モデル戦略の策定は、今日のアナリティクス状況において非常に重要です。SnowflakeとSigmaにより、ビジネスニーズに合わせた予測モデルを簡単に作成し、将来のトレンドを予測し、業務を最適化し、データ主導の意思決定を行う方法をご覧ください。大規模なコーディングを行うことなく、データを探索し、主要な列を特定し、洞察を明らかにする方法、統一されたプログラミング環境で複雑さを軽減する方法、データパイプラインの開発と実行、フィーチャーエンジニアリングの使用、機械学習モデルへのアクセスを一箇所で行う方法、エンドユーザーがデータサイエンスの深い専門知識を持つ必要性を排除し、プロセスをより身近で効率的にする方法をご覧ください。,1709661105124001nBOD,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709661105124001nBOD
AD232,"Developing Intelligent Data Apps with Streamlit by Leveraging Azure AI, Azure OpenAI and Snowflake",Azure AI、Azure OpenAI、Snowflakeを活用したStreamlitによるインテリジェントデータアプリの開発,Hands-on-Lab,Application Development,アプリケーション開発,2024-06-03,2024-06-03 13:00:00,2024-06-03 14:30:00,13,"Building data applications can be complex, involving vast amounts of data and different sources. But with an integrated data stack, developers can streamline the process from development to deployment in minutes. This hands-on lab will take the attendees on a journey of developing intelligent data apps with Streamlit, Azure AI and Azure OpenAI, and Snowflake. We'll showcase how to build a fully functional app leveraging the power of Microsoft AI technologies and Snowflake's platform capabilities.",データ・アプリケーションの構築は、膨大な量のデータとさまざまなソースが関与する複雑なものになる可能性がある。しかし、統合されたデータスタックを使えば、開発者は開発からデプロイまでのプロセスを数分で効率化できる。このハンズオンラボでは、Streamlit、Azure AI、Azure OpenAI、Snowflakeを使ってインテリジェントなデータアプリケーションを開発する旅に参加者をご案内します。マイクロソフトのAIテクノロジーとSnowflakeのプラットフォーム機能を活用した高機能アプリの構築方法を紹介します。,1709775255015001ZthE,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709775255015001ZthE
DE235,Enhancing Motley Fool's ML-Driven Analytics with Striim and Snowpipe Streaming,MotleyFoolのML-Driven AnalyticsをStriimとSnowpipe Streamingで強化,Breakout-Session,Data Engineering,データエンジニアリング,2024-06-03,2024-06-03 13:00:00,2024-06-03 13:45:00,13,"This session will explore how Striim for Snowflake has transformed real-time data integration and streaming into a fully managed and automated solution, boosting business agility. Our partnership with Snowflake leverages Snowpipe Streaming, enabling the low-latency loading of streaming data rows. Join to discover how this powerful integration offers Motley Fool's marketing analytics and campaign planning teams a reliable and feature-rich platform for near real-time analytics on click-traffic, event-driven actions and data enrichment — critical for crafting effective ad campaigns. We'll cover how our advanced analytics and machine learning (ML) frameworks facilitate swift, informed decisions with minimal latency, while our continuous learning algorithms ensure that models adapt dynamically, staying aligned with evolving business and data landscapes. Attendees will take away an understanding of how this approach not only enhances performance, but also reduces costs — providing a superior solution for today’s dynamic market needs.",本セッションでは、Striim for Snowflakeがリアルタイムデータ統合とストリーミングを完全に管理・自動化されたソリューションに変え、ビジネスの俊敏性をどのように向上させたかをご紹介します。SnowflakeとのパートナーシップはSnowpipe Streamingを活用し、ストリーミングデータの低レイテンシーローディングを可能にします。この強力な統合により、Motley Foolのマーケティング分析およびキャンペーンプランニングチームが、クリックトラフィック、イベントドリブンアクション、データエンリッチメントなど、効果的な広告キャンペーンの立案に不可欠な分析をほぼリアルタイムで行うための、信頼性と豊富な機能を備えたプラットフォームをどのように利用しているかをご紹介します。また、継続的な学習アルゴリズムにより、モデルがダイナミックに適応し、進化するビジネスとデータ環境に対応します。参加者は、このアプローチがパフォーマンスを向上させるだけでなく、コストを削減し、今日のダイナミックな市場ニーズに優れたソリューションを提供する方法について理解を深めることができます。,1709938063506001cbFe,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1709938063506001cbFe
